zip,private,uninsured,public,private_only,employment,employed_only,directpurchase,directpurchase_only,military,military_only,public_alone,medicare,medicare_alone,medicaid,medicaid_alone,va,va_only
98831,70.6,14.3,45.9,33.6,60.6,28,21.2,5.5,0.7,0,13.5,19.2,3.7,32.4,9.8,1.3,0
98832,81,7.2,16.3,76.4,68.4,67.7,10.3,5.7,3,3,10.3,16.3,10.3,0,0,1.5,0
98833,95.3,4.7,0,95.3,35.3,35.3,60,60,0,0,0,0,0,0,0,0,0
98834,43.5,24,37.5,34.5,34,27.5,12,5.5,3.5,1.5,18.5,27,8,24.5,10.5,2.5,0
98836,57.9,23.3,38.6,38.2,54.5,38.2,7.7,0,0,0,18.8,12.5,0,27.5,18.8,5.9,0
98837,57.6,16.4,37.6,44.8,47.9,39.8,10.9,4.3,2.4,0.7,23.9,15.3,4.8,24.5,18.8,1.9,0.2
98840,56,16.3,42.8,39.6,40.7,35.3,15.8,4.2,1.6,0,24.5,24.4,6.5,21.7,17.5,2.7,0.6
98841,53.8,15.5,46.2,37.7,41.6,32.5,12.8,5,2.4,0.2,26,22.8,6.3,28.2,19.4,3.6,0.3
98843,33.8,34.1,40,25.3,25.5,20.6,9.2,4.2,1.3,0.4,32,7.9,1.6,32.5,30.4,0.8,0
98844,47.9,16.8,49,34.2,33.3,28.6,14,5.4,1.7,0.2,31.1,27.3,10.5,27.2,20.5,2.8,0.1
98845,35.6,36.5,40.8,22.7,23.6,19.7,12.9,3,1.7,0,26.6,14.2,1.7,28.3,24.9,2.1,0
98846,34.7,25.7,47.5,26.5,31,25.7,3.8,0.8,0.3,0,38.2,15.1,6.7,34.1,31.5,1.3,0
98847,48.7,19.9,37.4,30.3,40.8,24.2,21.5,6.1,1.2,0,29.2,8.9,2.5,30.1,26.7,1.9,0
98848,45.1,20.9,42.6,35.2,36.8,30.9,10.5,4,0.9,0.2,32.9,11.6,4.1,33.5,28.8,1.2,0
98849,47.6,19.6,46.9,33.4,30.2,27.2,15.5,5.3,2.6,0.9,23.4,26.7,4.9,28.4,18.5,9.2,0
98850,30.9,28,50.2,20.7,23.6,20.3,10.2,0.5,0.3,0,36.5,17.9,4.9,36.1,30.8,1.8,0.8
98851,46.3,19.2,49.5,30.9,34.6,25.5,13.4,5.4,0.3,0,27.6,30.3,10.9,23.8,16.3,4.7,0.4
98852,57.1,42.9,28.6,0,57.1,0,57.1,0,0,0,0,28.6,0,0,0,0,0
98853,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,0
98855,40.9,25.4,48.1,25.9,29.8,21.9,12.4,3.9,1.2,0,28.7,21.4,5.8,30.6,22.7,3.2,0.1
98856,56.8,12.7,48.5,38.3,28.4,23.4,27,14,1.8,0.9,27.9,29.3,8.7,27.1,18.5,1.6,0.7
98857,43.7,23.3,39,37.7,36.9,33.8,7.1,3.7,0.5,0.2,30.4,10.2,3.6,31.8,26.5,0.9,0.3
98858,56,13.6,41.8,42.3,45.8,38.5,11.8,3.3,0.8,0.5,27.8,16.4,5.2,27.6,22.1,1.4,0.5
98859,22.6,30.5,47,22.6,22.6,22.6,0,0,0,0,32.9,14,0,38.4,32.9,8.5,0
98860,59.5,9.9,40.9,46,51.6,43.3,10.7,2.8,1.2,0,28.6,22.2,9.9,21.4,18.7,0,0
98862,70,11.8,35.1,52.7,38.9,30.7,34.1,21.5,0.6,0.5,18.2,18,3.4,17,14.8,2.6,0
98901,39.6,24,45.1,30.1,31.5,26.2,8.3,3.7,1.5,0.2,33.2,14,4.6,34.5,28,2.4,0.5
98902,41.4,24.4,43.5,30.8,32,26,10.7,4.4,1.5,0.4,31.5,13.3,3.7,32.7,27.6,1.6,0.3
98903,48.9,25.1,36,37.8,38,31.1,12.8,6.5,1.5,0.1,23.9,15.2,4.9,22.6,18.8,2.5,0.1
98908,69.2,10.6,38.4,48.9,54.5,42.6,17,5.6,2.7,0.8,17.9,21.8,4.3,19.3,13.5,2.7,0.1
98921,40.8,25.6,49.7,24.7,0,0,40.8,24.7,0,0,33.6,0,0,49.7,33.6,0,0
98922,67.1,16.6,34,47.3,48.7,37.7,18.7,8.2,2.5,1.3,14.2,23.5,6.4,13,7.4,2,0.3
98923,26.1,56.7,32.5,9.1,15.4,9.1,16,0,0,0,17.2,19.5,5.1,16,12.1,0,0
98925,52.8,14.5,41.9,43.6,34.4,28.9,20.9,14.7,1.2,0,28.2,17.5,5,23.2,23.2,5.7,0
98926,73.1,12.6,25.6,59.4,56.7,48.2,18.3,10.4,1.8,0.8,13,13.7,3,12.9,9.5,2,0.5
98929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98930,50.6,26.4,29.5,43.2,30.8,27.8,20.3,15.2,0.9,0.3,21,9.6,3,22,18,0.9,0
98932,57.7,30.3,18.6,50.8,31,29.1,27.3,21.7,0.5,0,11.4,8.4,2.5,10.9,8.8,0.2,0.1
98933,57,27.9,24.4,47.1,39.8,35.2,18.1,11.9,0.3,0,12.3,15.7,5.2,11,7.1,1.3,0
98934,49.2,21.8,40.4,37.5,36.9,30.7,6,2.6,7,4.2,24.7,14.1,2,24.9,21.8,7.2,1
98935,44.2,38.1,24.5,36.6,20.2,16.3,24.8,20.2,0.5,0,15.7,12.9,6.1,12.3,8.9,2.4,0.8
98936,65.9,14.2,31.2,52.5,54.7,46.7,13.8,5.3,1.3,0.5,16,13.8,1.1,21.9,14.9,1.1,0
98937,67.3,12,37.6,49,51.6,43.3,18.9,5.2,2.5,0.5,15,24.4,4,19,10.6,2,0.4
98938,55.6,34.7,13.4,51,29.1,25.8,27.6,24.5,1.2,0.6,9.7,6.2,3.6,7.1,6.1,0.3,0
98939,71,0,78.5,21.5,71,21.5,0,0,0,0,29,0,0,78.5,29,0,0
98940,85.5,3,51,46,60.8,43.2,24.7,2.8,0,0,4.4,46.7,0,17.7,4.4,2.6,0
98941,60.8,18.6,30.7,50.7,54.3,46,7.5,4.2,0.4,0.4,18.6,16.7,5.8,16.2,12.4,1.3,0.4
98942,70.8,11.1,29.9,55.3,57.8,47.8,15,6.5,3.6,0.9,16,15.5,4,16.2,11.8,1.6,0.2
98943,62.6,16.9,42.6,40.5,53.7,39.2,8.5,1.3,0.5,0,20.4,13.3,2.3,28.4,17.3,0.8,0.8
98944,48.5,31,27.9,40,26.6,23.6,23.3,16.4,0.5,0,18.4,10,3.2,20.3,15,0.8,0.2
98946,59.2,18.9,36.7,43.2,49.5,42.7,9.5,0.5,1.9,0,20.1,21.4,7.1,16,11.7,2.7,1.2
98947,44.7,26.8,35,37.4,37.2,31.5,7.2,4,2.3,1.9,25.7,10.1,2.7,28.1,23,0.5,0
98948,50.7,34.3,22.5,42.2,27.2,23.1,24.5,19.1,0.4,0,12.3,9.3,3,16,9.2,0.9,0.1
98950,44.6,4.4,55.1,40.5,44.6,40.5,0,0,0,0,51,5.7,1.6,51.5,49.4,0,0
98951,47.2,35.1,24.8,38.5,24.8,20.6,23.9,17.9,1.1,0,15,10.6,3.2,17.1,11.5,1.4,0.2
98952,44.8,34.8,30,32.5,22.9,16.2,22.9,16.3,2.2,0,18.1,8.5,4,22.4,13.5,1.6,0.6
98953,64.3,18.6,25.2,55.3,50.6,46.2,15,9.1,0.2,0,13.9,9.8,2.9,18,10.9,0.9,0
99001,54.8,16.2,41,38.7,35.6,27,7.2,2.2,18.1,9.5,25.2,11.9,2.3,29.3,22.3,5.9,0.7
99003,75.8,10.2,31,57.1,63.4,51.5,11.3,5.6,4.5,0,12.3,20.8,5.8,10.6,6.5,4.3,0
99004,74,12.7,23.3,59.3,56.5,45.9,17.2,9.5,7.6,3.9,12,10.4,1.8,13.1,9.7,2.4,0.5
99005,83.3,6.1,21.8,69.5,69.9,59.7,12,7.7,5.5,2.1,9.5,13.3,4.7,9.8,4.5,2.3,0.3
99006,61.5,12.2,43.2,42.4,45.5,37.3,17.2,4.9,2.8,0.2,22.9,22.8,5.5,22.8,16.4,4.7,1.1
99008,66.9,7.2,41.7,23.9,47.2,14.3,16.5,9.7,34,0,16.4,25.4,0,27.1,14.6,1.8,1.8
99009,54.6,13.8,45.4,38.5,41.8,31.5,13.8,6.5,2.5,0.5,30.4,15,3.8,32.3,26.6,3.1,0
99011,98.5,0.5,4.4,78.5,19.1,3,0.7,0,95.5,75.5,1,0,0,4.1,1,0.3,0
99012,77.3,8.4,33.1,55.2,51.3,38.3,29.6,14.6,3.5,2.3,11.6,20.4,5.4,16.7,6.2,2.4,0
99013,44.3,21.6,45.8,32.4,27.7,23.9,15,8.3,1.8,0.3,29.7,15.9,3,33.4,26.6,2.4,0.1
99016,71.5,11.5,27.5,58.5,61,51.7,11.6,5.2,2.7,1.5,14.7,14.9,4.1,15.5,10.5,1.9,0.2
99017,66,7.9,41.9,35.1,51.3,29.3,31.4,5.8,2.6,0,25.7,17.8,4.7,24.1,20.9,2.1,0
99018,65.4,10.5,35.6,53.6,61.8,51.3,3.6,2.3,0.7,0,18.6,16.3,2,24.2,16,4.9,0.7
