avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
194.01,0.6795,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
194.01,0.6795,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
194.01,0.6795,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
194.01,0.6795,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
312.55,0.8523,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
312.55,0.8523,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
312.55,0.8523,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
312.55,0.8523,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
93.16,0.3513,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
26.68,0.1425,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
26.68,0.1425,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
26.68,0.1425,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
26.68,0.1425,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
309.1,0.8447,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
108.936666,0.4627,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
108.936666,0.4627,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
108.936666,0.4627,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
108.936666,0.4627,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
111.816,0.4688,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
