avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description
99.88,0.7707,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
99.88,0.7707,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
99.88,0.7707,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
99.88,0.7707,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
99.88,0.7707,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
99.88,0.7707,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
30.68,0.5316,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
30.68,0.5316,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
30.68,0.5316,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
30.68,0.5316,41.5556,17,0.2118,0.33,72500,Ct neck spine w/o dye
158.8,0.8342,52.7111,9,0.1653,0.58,72500,Ct neck spine w/o dye
199.485,0.8548,52.7111,9,0.1653,0.58,72500,Ct neck spine w/o dye
199.485,0.8548,52.7111,9,0.1653,0.58,72500,Ct neck spine w/o dye
199.485,0.8548,52.7111,9,0.1653,0.58,72500,Ct neck spine w/o dye
199.485,0.8548,52.7111,9,0.1653,0.58,72500,Ct neck spine w/o dye
199.485,0.8548,52.7111,9,0.1653,0.58,72500,Ct neck spine w/o dye
199.485,0.8548,52.7111,9,0.1653,0.58,72500,Ct neck spine w/o dye
61,0.707,52.7111,9,0.1653,0.58,72500,Ct neck spine w/o dye
61,0.707,52.7111,9,0.1653,0.58,72500,Ct neck spine w/o dye
23.02,0.6593,21.6444,4,0.1576,0.39,255178,Electrocardiogram tracing
23.02,0.6593,21.6444,4,0.1576,0.39,255178,Electrocardiogram tracing
23.02,0.6593,21.6444,4,0.1576,0.39,255178,Electrocardiogram tracing
23.02,0.6593,21.6444,4,0.1576,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
50.62,0.9047,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
22.415,0.6139,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
22.415,0.6139,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
22.28,0.611,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
21.94,0.6017,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
22.025,0.6059,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
22.78,0.6397,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
22.78,0.6397,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
22.86,0.6418,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
23.28,0.6684,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
23.28,0.6684,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
23.528333,0.6782,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
23.28,0.6684,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
23.28,0.6684,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.45,0.691,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
24.96,0.7045,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.96,0.7045,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
24.96,0.7045,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
27.43,0.7505,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
26.003333,0.7302,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
26.003333,0.7302,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
29.11,0.7878,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
50.62,0.9047,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
52.39,0.9097,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
52.39,0.9097,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
52.39,0.9097,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
52.39,0.9097,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
37.256666,0.8678,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
37.256666,0.8678,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
33.11,0.8487,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
29.595,0.8101,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
29.595,0.8101,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
31.096666,0.8311,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
30.57,0.8206,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
19.8675,0.4268,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
19.8675,0.4268,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
19.618,0.4227,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
19.8675,0.4268,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
19.406666,0.3794,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
19.406666,0.3794,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
19.198333,0.375,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
19.198333,0.375,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
17.53375,0.3366,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
17.53375,0.3366,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
19.122857,0.3706,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
18.436666,0.3572,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
17.368333,0.3335,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
15.285,0.2882,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
15.285,0.2882,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
16.456666,0.3119,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
16.456666,0.3119,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
16.456666,0.3119,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
16.456666,0.3119,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
15.285,0.2882,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
14.555,0.2724,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
13.8275,0.2518,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
14.555,0.2724,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
12.37,0.2258,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
12.37,0.2258,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
12.745,0.2327,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
12.745,0.2327,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
12.37,0.2258,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
10.97,0.2021,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
5.49,0.1152,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
7.1,0.1268,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
7.1,0.1268,52.7111,104,0.6575,0.58,255178,Electrocardiogram tracing
7.1,0.1268,52.7111,104,0.6575,0.39,255178,Electrocardiogram tracing
117.65,0.9909,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
117.65,0.9909,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
117.65,0.9909,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
117.65,0.9909,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
117.65,0.9909,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
93.6,0.977,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
93.6,0.977,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
93.6,0.977,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
58.825,0.9252,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
58.825,0.9252,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
58.825,0.9252,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
74.835,0.9551,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
117.65,0.9909,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
117.65,0.9909,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
50.968571,0.9058,41.5556,139,0.6943,0.33,255178,Electrocardiogram tracing
