GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population
8600000US98278,98278,ZCTA5 98278,0,12,-,**,1457,340,21216,1799
8600000US98279,98279,ZCTA5 98279,305,49,73317,10140,610,95,36676,4737
8600000US98280,98280,ZCTA5 98280,180,43,135301,53197,368,94,66443,27651
8600000US98281,98281,ZCTA5 98281,663,95,71879,18734,1323,231,39641,12504
8600000US98282,98282,ZCTA5 98282,6285,245,78729,3601,15201,536,32803,1740
8600000US98283,98283,ZCTA5 98283,201,98,45235,17492,503,248,18844,7971
8600000US98284,98284,ZCTA5 98284,9174,382,68254,4945,24583,948,26791,1670
8600000US98286,98286,ZCTA5 98286,89,28,84829,17311,221,78,33041,8501
8600000US98288,98288,ZCTA5 98288,76,34,59033,20954,169,67,27072,8962
8600000US98290,98290,ZCTA5 98290,11905,405,91033,3538,32942,1105,33789,1487
8600000US98292,98292,ZCTA5 98292,7996,291,81627,4252,21472,658,31178,1534
8600000US98294,98294,ZCTA5 98294,2472,181,59190,4753,6654,399,22804,2071
8600000US98295,98295,ZCTA5 98295,849,120,67878,7928,2448,454,24448,3589
8600000US98296,98296,ZCTA5 98296,9588,330,124190,7207,29304,1384,41346,2626
8600000US98297,98297,ZCTA5 98297,38,18,35816,9626,68,32,20831,4153
8600000US98303,98303,ZCTA5 98303,483,107,73878,20193,877,224,41592,11808
8600000US98304,98304,ZCTA5 98304,289,96,45425,11384,561,219,24307,8467
8600000US98305,98305,ZCTA5 98305,142,59,43915,20637,234,93,27359,10981
8600000US98310,98310,ZCTA5 98310,8514,330,55986,2330,19542,987,25639,1229
8600000US98311,98311,ZCTA5 98311,10191,315,76732,3875,26680,892,30167,1483
8600000US98312,98312,ZCTA5 98312,12362,434,68453,2973,31331,1314,28011,1308
8600000US98314,98314,ZCTA5 98314,25,22,150592,24868,2175,1043,28617,3140
8600000US98315,98315,ZCTA5 98315,1321,117,50735,5422,6355,591,17932,1662
8600000US98320,98320,ZCTA5 98320,607,79,48799,7652,1263,167,23639,3497
8600000US98321,98321,ZCTA5 98321,4958,282,81348,4314,14272,730,29132,1573
8600000US98323,98323,ZCTA5 98323,231,47,56775,6490,600,126,22045,3188
8600000US98325,98325,ZCTA5 98325,675,143,76151,14106,1657,379,31097,6816
8600000US98326,98326,ZCTA5 98326,204,67,30363,11427,759,192,10200,3689
8600000US98327,98327,ZCTA5 98327,3141,221,92632,7594,9006,83,32703,2887
8600000US98328,98328,ZCTA5 98328,3740,299,71830,5221,9526,811,28950,2026
8600000US98329,98329,ZCTA5 98329,3944,161,81859,5743,10581,622,31331,2358
8600000US98330,98330,ZCTA5 98330,94,79,52760,93439,167,135,31039,27871
8600000US98331,98331,ZCTA5 98331,2381,206,48425,5514,6243,339,20331,1829
8600000US98332,98332,ZCTA5 98332,5936,206,118319,12128,16332,795,44216,4446
8600000US98333,98333,ZCTA5 98333,1355,101,120612,17549,3556,330,46440,6680
8600000US98335,98335,ZCTA5 98335,9683,268,109884,7618,25605,849,42512,3082
8600000US98336,98336,ZCTA5 98336,373,91,36396,6094,866,242,16068,3437
8600000US98337,98337,ZCTA5 98337,2730,216,45769,4606,6260,733,22342,2434
8600000US98338,98338,ZCTA5 98338,8669,334,76614,3447,24352,1230,28096,1387
8600000US98339,98339,ZCTA5 98339,1344,135,41674,5081,3040,402,19447,2310
8600000US98340,98340,ZCTA5 98340,1201,154,77145,11924,2639,413,35433,6111
8600000US98342,98342,ZCTA5 98342,609,46,83779,10170,1421,115,36777,4027
8600000US98345,98345,ZCTA5 98345,227,89,83569,17220,543,215,36162,9904
8600000US98346,98346,ZCTA5 98346,3875,218,78726,5522,10531,779,29665,2347
8600000US98349,98349,ZCTA5 98349,1749,215,67038,8838,4415,793,26824,3903
8600000US98350,98350,ZCTA5 98350,130,32,45025,8836,448,124,14103,2949
8600000US98351,98351,ZCTA5 98351,433,141,64401,18510,987,360,28389,10520
8600000US98353,98353,ZCTA5 98353,13,21,N,N,24,39,N,N
8600000US98354,98354,ZCTA5 98354,2833,174,87624,15997,7201,243,34673,5661
8600000US98355,98355,ZCTA5 98355,287,79,71577,34886,563,127,37369,17283
8600000US98356,98356,ZCTA5 98356,914,106,44186,5380,1987,288,20799,2776
8600000US98357,98357,ZCTA5 98357,488,61,54219,9595,1631,213,18047,2375
8600000US98358,98358,ZCTA5 98358,463,94,66529,10105,1218,324,26100,4655
8600000US98359,98359,ZCTA5 98359,1696,154,79221,8274,4493,464,30633,3720
8600000US98360,98360,ZCTA5 98360,4054,225,80610,4267,11914,617,28185,1981
8600000US98361,98361,ZCTA5 98361,605,137,54164,19850,1043,232,30982,11157
8600000US98362,98362,ZCTA5 98362,9890,278,58550,2615,22558,649,26592,1249
8600000US98363,98363,ZCTA5 98363,5548,209,58977,4057,13927,538,24622,1738
8600000US98364,98364,ZCTA5 98364,32,52,N,N,121,195,N,N
8600000US98365,98365,ZCTA5 98365,2050,188,77834,8738,4507,501,35825,4626
8600000US98366,98366,ZCTA5 98366,12555,437,68704,3405,33311,1151,27008,1541
8600000US98367,98367,ZCTA5 98367,10154,356,82096,3730,27616,1126,31018,1564
8600000US98368,98368,ZCTA5 98368,7206,382,59631,4160,14961,546,29591,2096
8600000US98370,98370,ZCTA5 98370,11448,374,84069,4172,28482,841,34576,1633
8600000US98371,98371,ZCTA5 98371,8045,297,77405,3664,19748,772,32374,1580
8600000US98372,98372,ZCTA5 98372,9004,327,79145,3861,23190,851,31816,1625
8600000US98373,98373,ZCTA5 98373,8803,302,73406,3485,23096,1062,28641,1729
8600000US98374,98374,ZCTA5 98374,13434,349,85951,2890,38570,1220,30650,1128
8600000US98375,98375,ZCTA5 98375,9239,388,81645,4137,28969,1385,26667,1496
8600000US98376,98376,ZCTA5 98376,829,98,68197,10801,1927,284,30305,4873
8600000US98377,98377,ZCTA5 98377,839,149,39837,6486,1768,423,19582,3392
8600000US98380,98380,ZCTA5 98380,1856,182,93493,15131,5028,1015,35694,6133
8600000US98381,98381,ZCTA5 98381,204,59,55465,13143,465,138,25123,4897
8600000US98382,98382,ZCTA5 98382,12337,328,61272,2656,27164,626,28990,1339
8600000US98383,98383,ZCTA5 98383,8508,328,79797,4309,20816,1016,33690,2146
8600000US98385,98385,ZCTA5 98385,134,45,71735,14120,395,159,24301,7038
8600000US98387,98387,ZCTA5 98387,14737,505,70928,2764,44765,1943,24115,951
8600000US98388,98388,ZCTA5 98388,2682,131,83326,7237,6784,279,34130,3273
8600000US98390,98390,ZCTA5 98390,4221,221,69596,5017,10558,291,28643,2011
8600000US98391,98391,ZCTA5 98391,15457,421,94450,2877,45890,1292,32491,1244
8600000US98392,98392,ZCTA5 98392,1262,97,67134,3975,3019,261,28986,1922
8600000US98394,98394,ZCTA5 98394,457,97,73396,14918,1525,461,22376,6045
8600000US98396,98396,ZCTA5 98396,241,49,78361,10283,613,134,30865,5586
8600000US98402,98402,ZCTA5 98402,3363,210,50402,5542,6486,483,27429,3138
8600000US98403,98403,ZCTA5 98403,4201,273,77907,7700,7931,641,42141,4452
8600000US98404,98404,ZCTA5 98404,10668,342,49367,2071,33462,1470,16850,864
8600000US98405,98405,ZCTA5 98405,9228,311,53546,2433,23846,948,22098,1087
8600000US98406,98406,ZCTA5 98406,9152,288,76948,3267,21824,799,33527,1505
8600000US98407,98407,ZCTA5 98407,8815,266,92004,6205,20415,899,40518,2910
8600000US98408,98408,ZCTA5 98408,7137,339,58181,3638,18713,1259,23428,1479
8600000US98409,98409,ZCTA5 98409,9180,308,54303,2591,23260,1251,22692,1233
8600000US98416,98416,ZCTA5 98416,0,12,-,**,1087,248,17094,5689
8600000US98418,98418,ZCTA5 98418,3728,219,54273,5243,10234,1026,20796,2353
8600000US98421,98421,ZCTA5 98421,0,12,-,**,1,3,N,N
8600000US98422,98422,ZCTA5 98422,7411,150,103146,3572,20344,508,38573,1495
8600000US98424,98424,ZCTA5 98424,3784,165,65464,2652,10353,213,25014,1254
8600000US98430,98430,ZCTA5 98430,4,7,N,N,20,30,N,N
8600000US98433,98433,ZCTA5 98433,3817,166,54172,3380,18416,1112,17106,925
8600000US98438,98438,ZCTA5 98438,8,14,N,N,259,111,22739,3709
8600000US98439,98439,ZCTA5 98439,1864,191,41449,3608,5752,730,14754,1352
8600000US98443,98443,ZCTA5 98443,2235,96,77171,5211,5542,348,31957,1860
8600000US98444,98444,ZCTA5 98444,12724,428,48758,2756,35392,1395,18630,908
8600000US98445,98445,ZCTA5 98445,10837,338,67671,3214,30199,1375,25031,1125
8600000US98446,98446,ZCTA5 98446,3751,222,75876,7488,9897,853,29566,2937
8600000US98447,98447,ZCTA5 98447,0,12,-,**,842,150,6341,1585
8600000US98465,98465,ZCTA5 98465,3082,223,68730,7847,6544,662,33082,3787
8600000US98466,98466,ZCTA5 98466,11304,357,71543,3537,26498,695,31218,1801
8600000US98467,98467,ZCTA5 98467,6374,276,76031,5312,15836,701,30977,2393
8600000US98498,98498,ZCTA5 98498,11175,510,70399,3311,27272,1140,30006,1551
8600000US98499,98499,ZCTA5 98499,12480,449,53923,2960,30237,1119,23237,1472
8600000US98501,98501,ZCTA5 98501,16702,458,80700,3551,40618,1293,33666,1475
8600000US98502,98502,ZCTA5 98502,12686,424,77434,4053,30299,1106,33190,1781
8600000US98503,98503,ZCTA5 98503,14667,439,65793,3141,36729,1065,27158,1502
8600000US98506,98506,ZCTA5 98506,7828,339,73869,4518,18288,959,32719,1904
8600000US98512,98512,ZCTA5 98512,11120,333,77143,3318,28627,950,30615,1300
8600000US98513,98513,ZCTA5 98513,12115,372,77635,3045,33792,1241,28643,1302
8600000US98516,98516,ZCTA5 98516,8572,351,85087,4174,21702,1024,34513,1869
8600000US98520,98520,ZCTA5 98520,8100,350,55484,2914,23809,658,20407,1094
8600000US98524,98524,ZCTA5 98524,1352,238,68377,10426,3486,709,27641,3484
8600000US98526,98526,ZCTA5 98526,114,32,54916,11856,277,69,22665,5550
8600000US98527,98527,ZCTA5 98527,123,48,52893,27127,204,89,28105,11472
8600000US98528,98528,ZCTA5 98528,3499,369,62092,5587,9286,1147,23915,2565
8600000US98530,98530,ZCTA5 98530,216,40,44507,9799,522,106,18345,4662
8600000US98531,98531,ZCTA5 98531,9325,420,50244,3362,24054,948,20128,1290
8600000US98532,98532,ZCTA5 98532,8720,307,61945,2416,23977,847,23312,1053
8600000US98533,98533,ZCTA5 98533,330,99,46417,11274,764,248,20130,4616
8600000US98535,98535,ZCTA5 98535,227,107,32096,8771,461,240,15764,4696
8600000US98536,98536,ZCTA5 98536,83,69,28771,30354,169,139,14130,15001
8600000US98537,98537,ZCTA5 98537,842,110,63588,5949,2143,347,26031,3058
8600000US98538,98538,ZCTA5 98538,89,32,73591,16136,226,70,28616,6371
