zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98392,1262,735,54688,5545,67134,3975,33.25,,,
98394,457,372,49464,25373,73396,14918,30.90,,,
98396,241,174,67250,10121,78361,10283,37.88,,,
98402,3363,816,33299,4876,50402,5542,22.01,,,
98403,4201,1596,58337,5985,77907,7700,34.73,,,
98404,10668,7310,43333,3401,49367,2071,27.83,,,
98405,9228,4831,44787,2998,53546,2433,28.59,,,
98406,9152,5049,62328,3083,76948,3267,36.23,,,
98407,8815,5162,65939,4402,92004,6205,37.46,,,
98408,7137,4235,46439,5498,58181,3638,29.43,,,
98409,9180,5285,48357,2002,54303,2591,30.37,,,
98416,0,0,-,**,-,**,#VALUE!,,,
98418,3728,2285,47851,5390,54273,5243,30.13,,,
98421,0,0,-,**,-,**,#VALUE!,,,
98422,7411,5470,81761,3530,103146,3572,41.60,,,
98424,3784,2383,58008,4390,65464,2652,34.61,,,
98430,4,4,-,**,N,N,#VALUE!,,,
98433,3817,3674,48869,3539,54172,3380,30.62,,,
98438,8,8,-,**,N,N,#VALUE!,,,
98439,1864,1225,35590,5170,41449,3608,23.43,,,
98443,2235,1517,61307,6014,77171,5211,35.86,,,
98444,12724,7715,39743,1924,48758,2756,25.86,,,
98445,10837,7695,59135,4587,67671,3214,35.04,,,
98446,3751,2605,64163,5703,75876,7488,36.87,,,
98447,0,0,-,**,-,**,#VALUE!,,,
98465,3082,1474,46857,11430,68730,7847,29.64,,,
98466,11304,7058,54010,3006,71543,3537,32.96,,,
98467,6374,4469,60125,6146,76031,5312,35.42,,,
98498,11175,6813,56133,2710,70399,3311,33.85,,,
98499,12480,6870,39046,2516,53923,2960,25.46,,,
98501,16702,11030,67384,2963,80700,3551,37.92,,,
98502,12686,7298,62475,4756,77434,4053,36.28,,,
98503,14667,9036,57198,2961,65793,3141,34.28,,,
98506,7828,4282,60079,4795,73869,4518,35.40,,,
98512,11120,7651,66517,4548,77143,3318,37.65,,,
98513,12115,9130,68651,3977,77635,3045,38.32,,,
98516,8572,6056,68118,7041,85087,4174,38.15,,,
98520,8100,5163,42790,2238,55484,2914,27.54,,,
98524,1352,1063,56852,11485,68377,10426,34.14,,,
98526,114,80,43750,5905,54916,11856,28.05,,,
98527,123,76,45625,37377,52893,27127,29.02,,,
98528,3499,2481,54621,6203,62092,5587,33.22,,,
98530,216,156,35000,19029,44507,9799,23.07,,,
98531,9325,5556,38542,2662,50244,3362,25.17,,,
98532,8720,6433,51685,2692,61945,2416,31.93,,,
98533,330,171,36033,15247,46417,11274,23.69,,,
98535,227,170,33507,7204,32096,8771,22.14,,,
98536,83,14,22750,62516,28771,30354,14.78,,,
98537,842,572,55667,4878,63588,5949,33.66,,,
98538,89,63,74375,28011,73591,16136,39.92,,,
98541,3717,2608,45262,6212,57504,4992,28.83,,,
98542,189,150,58550,5796,66085,18524,34.82,,,
98544,0,0,-,**,-,**,#VALUE!,,,
98546,1137,826,64053,11029,71938,9968,36.83,,,
98547,558,334,27069,10033,41313,9493,17.88,,,
98548,1262,513,32105,12799,38143,5246,21.25,,,
98550,4499,2749,38726,5245,51124,4637,25.28,,,
98552,236,142,46750,29070,45357,7756,29.59,,,
98555,177,123,31760,58714,66049,25083,21.03,,,
98557,1155,781,52780,7180,58451,4837,32.42,,,
98558,52,33,-,**,N,N,#VALUE!,,,
98559,29,29,-,**,N,N,#VALUE!,,,
98560,69,54,38750,23498,45893,7921,25.29,,,
98562,36,36,-,**,N,N,#VALUE!,,,
98563,3325,2224,54750,8108,70082,9608,33.27,,,
98564,997,684,45313,6711,56081,7187,28.86,,,
98565,180,149,60833,13037,68625,12980,35.69,,,
98568,944,679,46538,4870,54190,4971,29.48,,,
98569,2810,1770,41685,10969,53201,6468,26.94,,,
98570,1657,1165,43750,8244,55000,6828,28.05,,,
98571,119,119,58401,52838,84559,60507,34.76,,,
98572,330,211,47500,10266,52801,8617,29.96,,,
98575,80,62,47250,22655,63138,13985,29.83,,,
98576,1848,1409,57073,9167,68076,7566,34.23,,,
98577,2727,1798,43229,3624,54249,4736,27.77,,,
98579,4857,3652,58239,3697,68846,5572,34.70,,,
98580,3921,3209,61516,5521,70791,5931,35.94,,,
98581,128,66,36042,16669,34113,9076,23.70,,,
98582,286,135,27262,42043,54414,20851,18.02,,,
98583,51,30,25729,18928,35002,18695,16.94,,,
98584,13196,8312,47826,2934,59349,2996,30.12,,,
98585,284,159,62222,63350,83693,28935,36.19,,,
