zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98589,2683,1867,55308,4921,66552,6120,,,,
98590,198,132,38864,25343,91639,60242,,,,
98591,1477,1129,49120,7531,57261,6025,,,,
98592,700,520,64524,20575,79975,23202,,,,
98593,397,260,42031,14522,44532,5023,,,,
98595,1194,491,32013,4551,37980,5236,,,,
98596,2577,1925,42404,3675,50832,4573,,,,
98597,7797,5533,53534,3865,62998,3499,,,,
98601,956,749,54688,7293,63081,9799,,,,
98602,41,23,53250,9454,49527,9498,,,,
98603,419,322,59708,14346,76205,26651,,,,
98604,11539,9117,66206,4634,80608,4122,,,,
98605,460,253,39167,12655,54168,7746,,,,
98606,3128,2530,76722,8618,92286,6841,,,,
98607,9866,7669,83602,6405,106904,5846,,,,
98610,1158,734,39667,7497,53553,8572,,,,
98611,3868,2693,55021,5450,65928,5561,,,,
98612,1119,786,48594,7162,54594,7982,,,,
98613,209,154,56875,19833,68062,9870,,,,
98614,112,69,38636,30499,42180,13789,,,,
98616,85,62,31890,36702,69939,52013,,,,
98617,415,285,47344,9696,64949,19200,,,,
98619,187,130,46406,12329,53426,8193,,,,
98620,2982,2073,41381,6227,47662,5108,,,,
98621,198,134,33125,17453,44295,15516,,,,
98624,641,416,44489,15168,53753,8440,,,,
98625,2568,1757,55625,7269,72737,12075,,,,
98626,9090,6262,44777,3897,56614,2978,,,,
98628,158,96,32031,8054,49237,10670,,,,
98629,2943,2398,74102,6449,86823,7734,,,,
98631,1688,1001,41214,8653,54236,8020,,,,
98632,19960,12235,41732,1836,55149,2035,,,,
98635,763,490,33862,4683,45693,4950,,,,
98638,517,384,51771,8826,61112,8962,,,,
98639,428,239,48036,13405,67699,17184,,,,
98640,1901,1070,34035,3826,44039,6762,,,,
98641,0,0,-,**,-,**,,,,
98642,5910,4610,78448,7010,96102,7067,,,,
98643,193,128,51477,17639,50107,10476,,,,
98644,140,68,38641,3625,41680,11267,,,,
98645,461,354,54792,13815,59137,8695,,,,
98647,121,55,26488,19715,47703,30238,,,,
98648,1204,711,51471,4105,60170,5527,,,,
98649,376,250,72045,21064,77639,14576,,,,
98650,314,249,53750,13364,74603,15153,,,,
98651,269,207,49489,23039,68558,10963,,,,
98660,5234,2543,43214,5863,59305,5051,,,,
98661,17422,10129,40599,1998,56114,3419,,,,
98662,11885,8049,60034,3841,68980,2772,,,,
98663,5688,3164,53137,3563,62293,3079,,,,
98664,8776,5439,51489,2120,67840,3828,,,,
98665,9492,6416,50305,2377,65484,3588,,,,
98670,33,20,45417,41397,50361,19338,,,,
98671,8155,6015,67655,5540,81718,4608,,,,
98672,2136,1406,54655,5577,68521,6670,,,,
98673,197,117,35893,14600,53346,13505,,,,
98674,3853,3010,63774,3633,78154,9345,,,,
98675,2067,1565,59871,5358,75602,6455,,,,
98682,18226,13334,59325,2474,68437,2531,,,,
98683,13008,8479,58874,3714,77841,3311,,,,
98684,9857,7095,57216,3523,69204,4079,,,,
98685,9708,7413,79265,4858,92852,4268,,,,
98686,6741,4751,72204,4792,87166,5149,,,,
98801,14977,10157,50911,2354,68149,4068,,,,
98802,10511,7960,57872,2749,67214,3438,,,,
98811,39,7,56607,69001,49162,31155,,,,
98812,1293,1033,40583,8914,56942,7140,,,,
98813,991,826,37986,3189,45683,4464,,,,
98814,148,120,34355,29321,51226,15848,,,,
98815,2564,2048,59735,5819,79022,8816,,,,
98816,2626,1654,42721,14267,60155,8390,,,,
98817,188,82,20156,44488,19371,14539,,,,
98819,89,44,32917,11597,35442,8356,,,,
98821,157,106,13875,56626,27348,26646,,,,
98822,805,613,45804,9254,58842,5500,,,,
98823,3720,2822,54651,5346,58703,4020,,,,
98824,115,105,47928,8511,46302,7249,,,,
98826,2965,1816,46976,7736,59368,7959,,,,
98827,235,139,36332,22615,28214,9674,,,,
98828,770,589,60913,7227,69590,12353,,,,
98829,274,200,37125,45073,53136,11150,,,,
98830,240,156,55333,15505,60759,10307,,,,
