cost,costval,income,incomeval,quality,insured,adjudicated_location_id,description,procedure_code,no_procedures
0.6139,22.415,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.611,22.28,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6017,21.94,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6059,22.025,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6397,22.78,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6397,22.78,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6418,22.86,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6684,23.28,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6684,23.28,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6782,23.528333,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6684,23.28,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.6684,23.28,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.691,24.45,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7045,24.96,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7045,24.96,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7045,24.96,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7505,27.43,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7302,26.003333,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7302,26.003333,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.7878,29.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.9047,50.62,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.9097,52.39,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.9097,52.39,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.9097,52.39,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.9097,52.39,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8678,37.256666,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8678,37.256666,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8487,33.11,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8101,29.595,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8101,29.595,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8311,31.096666,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.39,40921,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
0.8206,30.57,0.58,66092,52.7111,0.6575,78,Electrocardiogram tracing,93005,255178
