Id,zip,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
8600000US04605,4605,ZCTA5 04605,5791,232,48588,5288
8600000US04606,4606,ZCTA5 04606,545,62,44830,7884
8600000US04607,4607,ZCTA5 04607,476,59,43864,3943
8600000US04609,4609,ZCTA5 04609,2359,138,49233,7739
8600000US04611,4611,ZCTA5 04611,227,33,33750,6209
8600000US04612,4612,ZCTA5 04612,262,59,39815,13336
8600000US04613,4613,ZCTA5 04613,77,31,47917,15338
8600000US04614,4614,ZCTA5 04614,1225,120,34935,11665
8600000US04616,4616,ZCTA5 04616,389,54,52875,7665
8600000US04617,4617,ZCTA5 04617,350,48,64167,9591
8600000US04619,4619,ZCTA5 04619,1500,94,33448,3565
8600000US04622,4622,ZCTA5 04622,598,65,41364,4027
8600000US04623,4623,ZCTA5 04623,470,53,42500,4555
8600000US04624,4624,ZCTA5 04624,65,32,31406,13106
8600000US04625,4625,ZCTA5 04625,24,12,43750,28239
8600000US04626,4626,ZCTA5 04626,182,27,44545,6300
8600000US04627,4627,ZCTA5 04627,742,101,43194,10630
8600000US04628,4628,ZCTA5 04628,288,40,34286,10185
8600000US04629,4629,ZCTA5 04629,126,68,30663,25323
8600000US04630,4630,ZCTA5 04630,553,72,50774,9947
8600000US04631,4631,ZCTA5 04631,746,63,33245,3584
8600000US04634,4634,ZCTA5 04634,842,96,38636,7552
8600000US04635,4635,ZCTA5 04635,22,16,64000,25964
8600000US04637,4637,ZCTA5 04637,81,21,37813,11760
8600000US04640,4640,ZCTA5 04640,995,122,41250,2055
8600000US04642,4642,ZCTA5 04642,46,17,71250,44560
8600000US04643,4643,ZCTA5 04643,432,53,44750,4059
8600000US04644,4644,ZCTA5 04644,0,10,-,**
8600000US04645,4645,ZCTA5 04645,27,15,41042,20111
8600000US04646,4646,ZCTA5 04646,33,16,56250,42594
8600000US04648,4648,ZCTA5 04648,224,44,33438,5645
8600000US04649,4649,ZCTA5 04649,550,65,33333,6154
8600000US04650,4650,ZCTA5 04650,71,24,55795,24490
8600000US04652,4652,ZCTA5 04652,878,72,34762,6056
8600000US04653,4653,ZCTA5 04653,245,55,33906,19433
8600000US04654,4654,ZCTA5 04654,1343,89,38438,3364
8600000US04655,4655,ZCTA5 04655,432,56,44412,6649
8600000US04657,4657,ZCTA5 04657,144,24,41250,10092
8600000US04658,4658,ZCTA5 04658,639,77,36050,6295
8600000US04660,4660,ZCTA5 04660,622,93,63561,5786
8600000US04662,4662,ZCTA5 04662,291,89,47188,11858
8600000US04664,4664,ZCTA5 04664,485,62,41513,8307
8600000US04666,4666,ZCTA5 04666,513,47,37917,5911
8600000US04667,4667,ZCTA5 04667,658,51,34808,2747
8600000US04668,4668,ZCTA5 04668,716,62,27212,5384
8600000US04669,4669,ZCTA5 04669,77,29,53036,30504
8600000US04671,4671,ZCTA5 04671,233,33,47434,9391
8600000US04673,4673,ZCTA5 04673,44,17,25000,24515
8600000US04674,4674,ZCTA5 04674,282,61,43333,7762
8600000US04675,4675,ZCTA5 04675,173,52,88516,19434
8600000US04676,4676,ZCTA5 04676,447,65,39688,13805
8600000US04677,4677,ZCTA5 04677,125,26,54375,21328
8600000US04679,4679,ZCTA5 04679,955,107,43566,9270
8600000US04680,4680,ZCTA5 04680,449,57,36985,8205
8600000US04681,4681,ZCTA5 04681,587,69,38603,6204
8600000US04683,4683,ZCTA5 04683,33,45,-,**
8600000US04684,4684,ZCTA5 04684,752,91,50921,9437
8600000US04685,4685,ZCTA5 04685,126,29,53750,19426
8600000US04686,4686,ZCTA5 04686,53,22,32708,12173
8600000US04691,4691,ZCTA5 04691,179,32,53984,4934
8600000US04693,4693,ZCTA5 04693,239,55,41595,4429
8600000US04694,4694,ZCTA5 04694,994,82,48125,5301
8600000US04730,4730,ZCTA5 04730,4237,180,37107,3452
8600000US04732,4732,ZCTA5 04732,778,79,36667,4220
8600000US04733,4733,ZCTA5 04733,140,50,41250,24472
8600000US04734,4734,ZCTA5 04734,347,53,43516,8470
8600000US04735,4735,ZCTA5 04735,264,34,33750,5007
8600000US04736,4736,ZCTA5 04736,4267,184,36068,1911
8600000US04739,4739,ZCTA5 04739,398,51,31471,3967
8600000US04740,4740,ZCTA5 04740,506,75,37065,6720
8600000US04741,4741,ZCTA5 04741,0,10,-,**
8600000US04742,4742,ZCTA5 04742,1487,136,30748,8555
8600000US04743,4743,ZCTA5 04743,1983,130,41535,3922
8600000US04745,4745,ZCTA5 04745,425,38,43984,5827
8600000US04746,4746,ZCTA5 04746,229,33,29688,9897
8600000US04747,4747,ZCTA5 04747,620,49,37708,6611
8600000US04750,4750,ZCTA5 04750,864,80,32823,5270
8600000US04756,4756,ZCTA5 04756,1613,122,37695,5614
8600000US04757,4757,ZCTA5 04757,1155,57,51367,6085
8600000US04758,4758,ZCTA5 04758,628,58,41607,6458
8600000US04760,4760,ZCTA5 04760,282,41,41000,6267
8600000US04761,4761,ZCTA5 04761,218,34,37917,9985
8600000US04762,4762,ZCTA5 04762,273,41,45417,11733
8600000US04763,4763,ZCTA5 04763,266,41,35357,5258
8600000US04764,4764,ZCTA5 04764,28,14,37857,12281
8600000US04765,4765,ZCTA5 04765,576,55,39286,5367
8600000US04766,4766,ZCTA5 04766,163,25,51250,12188
8600000US04768,4768,ZCTA5 04768,220,33,51000,7097
8600000US04769,4769,ZCTA5 04769,4198,197,36706,3121
8600000US04772,4772,ZCTA5 04772,344,39,35000,6057
8600000US04773,4773,ZCTA5 04773,285,69,53125,35944
8600000US04774,4774,ZCTA5 04774,323,40,24922,4339
8600000US04776,4776,ZCTA5 04776,396,47,34677,3485
8600000US04777,4777,ZCTA5 04777,167,31,32788,5363
8600000US04779,4779,ZCTA5 04779,135,44,60938,36956
8600000US04780,4780,ZCTA5 04780,283,43,48482,5599
8600000US04781,4781,ZCTA5 04781,231,32,42292,8837
8600000US04783,4783,ZCTA5 04783,179,32,40446,9750
8600000US04785,4785,ZCTA5 04785,1197,79,28042,5905
8600000US04786,4786,ZCTA5 04786,790,60,43553,8774
8600000US04787,4787,ZCTA5 04787,226,38,38636,6310
8600000US04841,4841,ZCTA5 04841,3446,177,41095,5441
8600000US04843,4843,ZCTA5 04843,2430,161,53051,7978
8600000US04847,4847,ZCTA5 04847,634,73,56184,7343
8600000US04848,4848,ZCTA5 04848,335,46,53250,12207
8600000US04849,4849,ZCTA5 04849,1677,101,46920,7085
8600000US04851,4851,ZCTA5 04851,19,13,50417,50474
8600000US04852,4852,ZCTA5 04852,23,16,6250,40824
8600000US04853,4853,ZCTA5 04853,191,34,61250,13458
8600000US04854,4854,ZCTA5 04854,705,68,53750,10974
8600000US04855,4855,ZCTA5 04855,159,72,51354,42889
8600000US04856,4856,ZCTA5 04856,1358,103,62115,15784
8600000US04858,4858,ZCTA5 04858,604,57,49423,9538
8600000US04859,4859,ZCTA5 04859,236,71,52500,14670
8600000US04860,4860,ZCTA5 04860,769,107,51375,10776
8600000US04861,4861,ZCTA5 04861,1217,129,47625,7065
8600000US04862,4862,ZCTA5 04862,1471,110,50750,6310
8600000US04863,4863,ZCTA5 04863,578,78,62500,9013
8600000US04864,4864,ZCTA5 04864,1598,183,60000,7546
8600000US04901,4901,ZCTA5 04901,10954,429,36278,3894
8600000US04910,4910,ZCTA5 04910,760,62,42262,10293
8600000US04911,4911,ZCTA5 04911,869,120,28450,7214
8600000US04912,4912,ZCTA5 04912,398,54,39444,10002
